,result,diff,elo,opp_elo,game_time,color,start_time,day,weekday
406,0.0,-108,802,910,300.0,1,-100.9722222222222,21,2
407,0.0,9,793,784,300.0,1,-123.27777777777776,21,2
408,1.0,-47,803,850,300.0,1,-150.16666666666663,21,2
409,0.0,61,793,732,300.0,1,-157.9722222222222,21,2
410,1.0,42,800,758,300.0,1,-70.44444444444443,21,2
411,0.0,-84,794,878,300.0,1,-59.583333333333314,22,3
412,1.0,-9,803,812,300.0,0,-136.74999999999997,22,3
413,0.0,-70,796,866,300.0,0,-127.74999999999997,22,3
414,0.0,-194,790,984,300.0,0,-78.27777777777779,23,4
415,0.0,-10,782,792,300.0,1,-90.91666666666667,23,4
416,0.0,-12,774,786,300.0,0,-33.583333333333336,23,4
417,1.0,-2,782,784,600.0,0,-211.72222222222223,23,4
418,0.0,-32,774,806,600.0,1,-61.27777777777776,23,4
419,1.0,45,781,736,600.0,1,-116.41666666666664,23,4
420,0.0,-59,774,833,600.0,0,-142.0,23,4
421,0.0,47,764,717,600.0,1,-164.74999999999997,23,4
422,0.0,29,755,726,600.0,1,-96.88888888888887,24,5
423,0.0,-112,749,861,600.0,1,-177.91666666666666,24,5
424,0.0,-10,741,751,600.0,1,-180.66666666666669,25,6
425,1.0,35,749,714,600.0,0,-18.194444444444425,26,0
426,1.0,32,757,725,600.0,0,-50.16666666666666,26,0
427,1.0,59,764,705,600.0,0,-121.30555555555557,27,1
428,1.0,1,772,771,600.0,1,-205.1111111111111,28,2
429,1.0,-60,782,842,600.0,0,-179.66666666666666,3,0
430,0.0,-83,776,859,600.0,1,-165.25000000000003,3,0
431,1.0,53,783,730,600.0,0,-90.7222222222222,3,0
432,1.0,-24,792,816,600.0,0,-237.49999999999997,3,0
433,1.0,-19,801,820,600.0,1,-97.27777777777777,3,0
434,1.0,22,809,787,600.0,1,-167.0,4,1
435,0.0,-59,802,861,600.0,1,-192.27777777777777,4,1
436,1.0,49,809,760,600.0,0,-37.611111111111114,4,1
437,1.0,39,816,777,600.0,0,-222.41666666666669,4,1
438,1.0,37,824,787,600.0,1,-213.91666666666666,4,1
439,1.0,-51,834,885,600.0,1,-49.666666666666636,4,1
440,0.0,-23,826,849,600.0,0,-142.0,4,1
