,date,result,white_elo,black_elo,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,white_max_move,black_max_move,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff
576,2017-08-01,1.0,874,849,600,7698.611111111111,27,1,7,1,1,20,26,1,1,270,210,7565.277777777778,27,10.0,7.777777777777778,34.39999999999998,28.0,34.39999999999998,28.0,874,849,8.0,866.0,841.0,25
577,2017-08-01,0.5,874,884,600,8118.888888888889,53,1,5,1,1,0,0,-1,-1,590,450,7830.0,53,11.132075471698114,8.49056603773585,83.0,46.80000000000001,83.0,46.80000000000001,874,884,0.0,874.0,884.0,-10
578,2017-08-01,0.0,864,803,600,11400.555555555555,63,1,8,1,1,0,0,-1,-1,240,410,11220.0,63,3.8095238095238093,6.507936507936508,54.89999999999998,22.80000000000001,54.89999999999998,22.80000000000001,864,803,-10.0,874.0,813.0,61
579,2017-08-01,0.0,840,855,600,13441.944444444445,21,0,8,1,1,0,11,-1,1,200,220,13325.27777777778,22,9.523809523809524,10.0,80.0,48.0,48.0,80.0,855,840,-9.0,864.0,849.0,15
580,2017-08-01,1.0,785,862,600,18392.5,15,0,7,1,1,0,0,-1,-1,110,80,18339.722222222223,15,7.333333333333333,5.333333333333333,17.200000000000045,14.700000000000045,14.700000000000045,17.200000000000045,862,785,7.0,855.0,778.0,77
581,2017-08-01,0.0,832,853,600,18644.722222222223,25,0,8,1,1,19,8,1,1,350,150,18505.833333333332,26,14.0,5.769230769230769,25.899999999999977,82.40000000000003,82.40000000000003,25.899999999999977,853,832,-9.0,862.0,841.0,21
582,2017-08-01,1.0,861,859,600,22006.38888888889,28,1,8,1,1,5,9,1,1,300,360,21823.05555555556,27,10.714285714285714,13.333333333333334,43.69999999999993,77.90000000000003,43.69999999999993,77.90000000000003,861,859,8.0,853.0,851.0,2
583,2017-08-02,1.0,988,872,600,10489.722222222223,7,0,2,2,2,0,0,-1,-1,50,70,10456.388888888889,7,7.142857142857143,10.0,29.799999999999955,26.5,26.5,29.799999999999955,872,988,11.0,861.0,977.0,-116
584,2017-08-02,1.0,881,916,600,10663.888888888889,34,1,8,2,2,27,10,1,1,260,330,10500.0,33,7.647058823529412,10.0,39.30000000000001,29.399999999999977,39.30000000000001,29.399999999999977,881,916,9.0,872.0,907.0,-35
585,2017-08-02,1.0,890,917,600,15307.222222222223,31,1,8,2,2,10,11,1,0,260,330,15143.333333333334,30,8.387096774193548,11.0,28.100000000000023,41.700000000000045,28.100000000000023,41.700000000000045,890,917,9.0,881.0,908.0,-27
586,2017-08-02,0.0,911,882,600,17258.61111111111,31,0,8,2,2,11,20,0,1,280,370,17078.055555555555,32,9.03225806451613,11.5625,36.400000000000034,43.200000000000045,43.200000000000045,36.400000000000034,882,911,-8.0,890.0,919.0,-29
587,2017-08-02,1.0,888,788,600,18080.833333333332,21,1,7,2,2,0,0,-1,-1,100,180,18003.055555555555,21,4.761904761904762,8.571428571428571,23.800000000000068,30.40000000000009,23.800000000000068,30.40000000000009,888,788,6.0,882.0,782.0,100
588,2017-08-02,1.0,925,897,600,18233.333333333332,8,0,7,2,2,0,0,-1,-1,20,20,18222.222222222223,8,2.5,2.5,5.5,8.200000000000045,8.200000000000045,5.5,897,925,9.0,888.0,916.0,-28
589,2017-08-02,0.0,939,890,600,18493.88888888889,37,0,8,2,2,9,7,0,1,410,480,18246.666666666668,38,11.08108108108108,12.631578947368421,42.099999999999966,34.099999999999966,34.099999999999966,42.099999999999966,890,939,-7.0,897.0,946.0,-49
